HOME/AWAY,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,PTS,GAME_SCORE,+/-
0,5,8,0.625,0,0,0.0,0,0,0.0,5,0,10,7.1,-5
1,6,11,0.545,0,0,0.0,0,1,0.0,8,1,12,10.2,21
1,3,5,0.6,0,0,0.0,0,0,0.0,1,0,6,2.4,8
1,0,1,0.0,0,0,0.0,2,4,0.5,5,3,2,4.9,-3
0,1,2,0.5,0,0,0.0,1,2,0.5,1,0,3,1.1,-7
1,4,5,0.8,0,0,0.0,0,0,0.0,2,1,8,7.4,-2
1,2,4,0.5,0,0,0.0,0,0,0.0,3,1,4,1.8,-6
0,1,3,0.33299999999999996,0,0,0.0,1,2,0.5,3,1,3,3.9,1
0,4,4,1.0,0,0,0.0,1,3,0.33299999999999996,5,3,9,8.2,21
0,2,5,0.4,0,0,0.0,0,0,0.0,1,1,4,1.1,17
0,3,6,0.5,0,0,0.0,1,1,1.0,5,2,7,7.5,4
1,3,3,1.0,0,0,0.0,1,2,0.5,5,1,7,4.3,2
0,3,7,0.429,0,0,0.0,2,3,0.667,2,0,8,3.1,8
1,2,2,1.0,0,0,0.0,3,4,0.75,3,0,7,6.5,14
0,3,6,0.5,0,0,0.0,3,5,0.6,5,1,9,5.6,10
0,1,2,0.5,0,0,0.0,1,2,0.5,3,0,3,1.7,7
1,4,7,0.5710000000000001,0,0,0.0,0,0,0.0,5,0,8,5.8,-17
0,3,5,0.6,0,0,0.0,2,2,1.0,5,0,8,7.6,16
0,0,3,0.0,0,0,0.0,0,2,0.0,2,0,0,-1.9,-6
1,3,4,0.75,0,0,0.0,0,0,0.0,2,1,6,7.1,1
1,1,3,0.33299999999999996,0,0,0.0,2,2,1.0,0,0,4,1.9,-2
1,1,3,0.33299999999999996,0,0,0.0,0,0,0.0,3,1,2,1.4,13
1,4,7,0.5710000000000001,0,0,0.0,2,2,1.0,7,3,10,15.1,32
1,2,5,0.4,0,0,0.0,3,7,0.429,8,0,7,6.5,7
1,0,2,0.0,0,0,0.0,2,4,0.5,1,1,2,-1.4,1
0,1,4,0.25,0,0,0.0,0,0,0.0,2,0,2,1.2,-1
