HOME/AWAY,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,PTS,GAME_SCORE,+/-
1,10,12,0.833,3,3,1.0,0,0,0.0,8,3,23,21.2,15
0,6,14,0.429,3,5,0.6,2,2,1.0,4,0,17,7.4,13
0,8,13,0.615,1,4,0.25,7,7,1.0,1,7,24,20.3,-14
1,4,8,0.5,1,5,0.2,4,4,1.0,0,4,13,11.2,-1
0,6,8,0.75,3,4,0.75,2,2,1.0,4,3,17,18.1,23
0,2,7,0.28600000000000003,2,5,0.4,2,2,1.0,1,4,8,4.2,-7
1,5,11,0.455,3,6,0.5,4,4,1.0,6,4,17,13.4,1
0,7,12,0.583,5,7,0.7140000000000001,2,2,1.0,1,3,21,17.4,24
1,8,11,0.727,3,6,0.5,2,2,1.0,0,6,21,20.4,13
1,4,7,0.5710000000000001,2,2,1.0,1,1,1.0,1,2,11,7.3,20
1,11,14,0.7859999999999999,6,7,0.857,0,0,0.0,5,3,28,24.8,16
1,6,10,0.6,3,5,0.6,0,0,0.0,0,1,15,8.5,18
0,6,11,0.545,0,3,0.0,2,2,1.0,3,1,14,10.5,12
1,4,18,0.222,3,11,0.273,2,2,1.0,4,2,13,5.0,-14
0,1,7,0.14300000000000002,0,5,0.0,0,0,0.0,4,0,2,-1.4,-22
1,6,16,0.375,4,12,0.33299999999999996,0,0,0.0,3,1,16,8.8,3
