Rk,G,Date,Age,Tm,Column1,Opp,2,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
68,47,3/15/2018,35-183,HOU,,LAC,W (+5),0,5:26,1,3,.333,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,4,1.9,-2
69,,3/17/2018,35-185,HOU,@,NOP,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
70,,3/18/2018,35-186,HOU,@,MIN,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
71,,3/20/2018,35-188,HOU,@,POR,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
72,,3/22/2018,35-190,HOU,,DET,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
73,,3/24/2018,35-192,HOU,,NOP,W (+23),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
74,48,3/25/2018,35-193,HOU,,ATL,W (+19),0,14:50,1,3,.333,0,0,,0,0,,0,3,3,1,1,1,1,3,2,1.4,+13
75,49,3/27/2018,35-195,HOU,,CHI,W (+32),1,20:33,4,7,.571,0,0,,2,2,1.000,3,4,7,3,3,0,0,0,10,15.1,+32
76,,3/30/2018,35-198,HOU,,PHO,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
77,,4/1/2018,35-200,HOU,@,SAS,L (-17),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
78,50,4/3/2018,35-202,HOU,,WAS,W (+16),0,15:13,2,5,.400,0,0,,3,7,.429,3,5,8,0,1,0,0,2,7,6.5,+7
79,,4/5/2018,35-204,HOU,,POR,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
80,51,4/7/2018,35-206,HOU,,OKC,L (-6),0,13:43,0,2,.000,0,0,,2,4,.500,1,0,1,1,0,0,1,4,2,-1.4,+1
81,52,4/10/2018,35-209,HOU,@,LAL,W (+6),0,12:18,1,4,.250,0,0,,0,0,,1,1,2,0,1,0,0,1,2,1.2,-1
82,,4/11/2018,35-210,HOU,@,SAC,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
